"","genotype","pref","pixels"
"167","LVP",-0.696969696969697,297
"168","LVP",-1,1683
"169","LVP",0.171428571428571,70
"170","LVP",0.926517571884984,626
"171","LVP",-0.883895131086142,534
"172","LVP",-1,834
"173","LVP",0.73728813559322,472
"174","LVP",-0.993192648059905,1469
"175","LVP",-0.998893193137797,1807
"176","LVP",-0.981545559400231,867
"177","LVP",-0.911764705882353,408
"178","LVP",-0.84070796460177,1469
"179","LVP",-0.998520710059172,1352
"180","LVP",0.508833922261484,566
"181","LVP",-0.918367346938776,882
"182","LVP",-0.163355408388521,906
"183","LVP",-0.81859410430839,882
"184","LVP",-0.969740634005764,1388
"185","LVP",-0.924112607099143,817
"186","LVP",-0.85140562248996,996
"187","LVP",-0.884137931034483,725
"188","LVP",-0.853587115666179,683
"189","LVP",-0.965217391304348,575
"190","LVP",-0.967359050445104,674
"191","LVP",-1,1041
"192","LVP",-0.997703788748565,871
"193","LVP",0.917293233082707,1330
"194","LVP",-0.957716701902748,1419
"195","LVP",-0.970802919708029,137
"196","LVP",0.710691823899371,159
"197","LVP",-0.836216839677047,1734
"198","LVP",-0.912727272727273,1100
"199","LVP",-0.170731707317073,82
"200","LVP",-0.392857142857143,56
"201","LVP",0.8975,800
"202","LVP",-0.72,1250
"203","LVP",-1,808
"204","ppk13647",-0.979890310786106,1094
"205","ppk13647",-0.980524344569288,1335
"206","ppk13647",-0.998272884283247,1158
"207","ppk13647",-0.779527559055118,254
"208","ppk13647",-0.9344,1250
"209","ppk13647",0.531914893617021,47
"210","ppk13647",-0.968807339449541,1090
"211","ppk13647",-1,1500
"212","ppk13647",-1,1339
"213","ppk13647",-0.878952122854562,1107
"214","ppk13647",-0.89202657807309,1204
"215","ppk13647",-0.8,20
"216","ppk13647",-0.916483516483516,455
"217","ppk13647",0.833333333333333,12
"218","ppk13647",-0.611650485436893,103
"219","ppk13647",-1,1268
"220","ppk13647",0.86046511627907,43
"221","ppk13647",-0.125,32
"222","ppk13647",-0.925806451612903,620
"223","ppk13647",-0.987755102040816,1470
"224","ppk13647",-0.89971181556196,1735
"225","ppk13647",-0.929844097995546,1796
"226","ppk13647",-0.937641723356009,1764
"227","ppk13647",-0.937586685159501,1442
"228","ppk13647",-0.819672131147541,122
"229","ppk13647",-0.863325740318907,878
"230","ppk13647",-0.764705882352941,34
"231","ppk13647",-1,1498
"232","ppk13647",-0.982717989002357,1273
"233","ppk13647",-0.867154174283973,1641
"234","ppk13647",-0.97979797979798,1386
"235","ppk13647",-0.910020449897751,978
"236","ppk13647",-0.183355006501951,1538
"237","ppk13647",-0.90873786407767,1030
"238","ppk13647",0.822222222222222,1170
"239","ppk13647",-0.973131821998321,1191
"240","ppk13647",-0.939151321056846,1249
"241","ppk13647",-0.990306946688207,1238
"242","ppk13647",-0.901492537313433,670
"243","ppk13647",-0.993784959602237,1609
"244","ppk13647",-0.976945244956772,1041
"245","ppk13647",-0.95859872611465,1256
"246","ppk13647",-0.932835820895522,268
"247","ppk13647",-0.991440798858773,1402
"248","ppk13647",-0.990722332670643,1509
"249","ppk13647",-0.977507029053421,1067
"250","ppk13647",-0.966426858513189,834
"251","ppk13647",-0.978142076502732,915
"252","ppk13647",-0.896984924623116,796
"253","ppk13647",-0.994219653179191,1038
"254","ppk13647",-0.975553857906799,1309
"255","ppk13647",-0.985425101214575,1235
"256","ppk13647",-0.988142292490119,1012
"257","ppk13647",-0.96078431372549,1071
"258","ppk13647",0.0769230769230769,13
"259","ppk13647",-0.988636363636364,1408
"260","ppk14228",-0.970438328236493,1962
"261","ppk14228",-0.997348652231551,2263
"262","ppk14228",-0.993377483443709,2114
"263","ppk14228",0.63265306122449,49
"264","ppk14228",0.552238805970149,67
"265","ppk14228",-0.978378378378378,1110
"266","ppk14228",0.259259259259259,54
"267","ppk14228",-0.985232067510548,1896
"268","ppk14228",-0.981468282252316,1403
"269","ppk14228",0.136363636363636,44
"270","ppk14228",-1,272
"271","ppk14228",-1,1118
"272","ppk14228",-1,41
"273","ppk14228",-1,709
"274","ppk14228",-0.660130718954248,1377
"275","ppk14228",-0.994025392083644,1339
"276","ppk14228",-1,1862
"277","ppk14228",1,11
"278","ppk14228",0.166666666666667,168
"279","ppk14228",0.666666666666667,6
"280","ppk14228",-0.97145993413831,1822
"281","ppk14228",-0.0402298850574713,348
"282","ppk14228",-0.785792349726776,1830
"283","ppk14228",-0.460992907801418,141
